risk,path,issues
high,0xSojalSec-EveryoneNobel\main.py,forbidden_attr_call:system
high,0xSojalSec-EveryoneNobel\main_without_openai.py,forbidden_attr_call:system
high,0xSojalSec-gtfo\gtfo.py,forbidden_attr_call:system
high,0xSojalSec-GunnerC2\main.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_attr_call:system
high,0xSojalSec-H.I.V.E\hive.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_attr_call:system;forbidden_module_call:subprocess.run;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system
high,0xSojalSec-hexstrike-ai\hexstrike_server.py,forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_module_call:subprocess.run;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-HikvisionExploiter\checker.py,forbidden_import:subprocess;forbidden_module_call:subprocess.check_output
high,0xSojalSec-HomeDockOS\update_requirements.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_module_call:subprocess.run
high,0xSojalSec-hub\securade.py,forbidden_import:subprocess;forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen
high,0xSojalSec-ics-forensics-tools\setup.py,forbidden_attr_call:system
high,0xSojalSec-IMTalker\app.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_attr_call:call;forbidden_module_call:subprocess.call
high,0xSojalSec-intelspy\intelspy.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-Jira-Lens\setup.py,forbidden_call:exec
high,0xSojalSec-jsluicepp\jsluicepp.py,forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen
high,0xSojalSec-LazyXss\installer.py,forbidden_import:subprocess;forbidden_attr_call:call;forbidden_module_call:subprocess.call;forbidden_attr_call:call;forbidden_module_call:subprocess.call;forbidden_attr_call:call;forbidden_module_call:subprocess.call
high,0xSojalSec-laZzzy\builder.py,forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_call:compile
high,0xSojalSec-LHM\app.py,forbidden_import:subprocess
high,0xSojalSec-LHM\app_motion.py,forbidden_import:subprocess
high,0xSojalSec-LHM\app_motion_ms.py,forbidden_import:subprocess
high,0xSojalSec-LLaVA-NeXT\predict.py,forbidden_import:subprocess;forbidden_module_call:subprocess.check_call
high,0xSojalSec-LLMFuzzer\llmfuzzer.py,forbidden_attr_call:system
high,0xSojalSec-LoginCrack\logincrack.py,forbidden_call:exec
high,0xSojalSec-lostools\lostsec.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_module_call:subprocess.check_call;forbidden_module_call:subprocess.check_call;forbidden_attr_call:popen
high,0xSojalSec-mantis\scheduler.py,forbidden_call:exec
high,0xSojalSec-mapperplus\mapperplus.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-mapperplus\processor.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-mapperplus\process_all_maps.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-mapperplus\process_maps.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-mindmap-generator\mindmap_generator.py,forbidden_call:eval
high,0xSojalSec-moniorg\moniorg.py,forbidden_attr_call:system;forbidden_attr_call:system
high,0xSojalSec-monitor_subdomains\monitor.py,forbidden_import:subprocess;forbidden_attr_call:call;forbidden_module_call:subprocess.call;forbidden_call:exec;forbidden_call:exec;forbidden_call:exec
high,0xSojalSec-msmap\generator.py,forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_call:eval;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen
high,0xSojalSec-MuseTalk\app.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-MuseTalk\test_ffmpeg.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-NetExec\build_collector.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-Nosleep-reverseip\main.py,forbidden_attr_call:system;forbidden_attr_call:system
high,0xSojalSec-OpenWhisper-clone\app_qt.py,forbidden_import:subprocess;forbidden_attr_call:system
