[2026-02-13 01:40:31] Starting api with command: C:\DEV\PyAgent\.venv\Scripts\python.exe -m uvicorn src.infrastructure.services.api.agent_api_server:app --host 127.0.0.1 --port 8001
2026-02-13 01:40:38,158 | WARNING | PyAgent.src.infrastructure.swarm.voyager.transport_layer | [src.infrastructure.swarm.voyager.transport_layer] Voyager: Encryption disabled (no key provided).
2026-02-13 01:40:38,181 | INFO | root | Registry: Discovered 162 orchestrators.
2026-02-13 01:40:38,219 | INFO | root | Registry: Discovered 501 agents dynamically.
2026-02-13 01:40:38,299 | INFO | src.infrastructure.swarm.network.network_utils | get_local_network_ip: Selected 192.168.88.253 from ethernet ethernet 2 for LAN discovery
2026-02-13 01:40:38,301 | INFO | src.infrastructure.swarm.network.lan_discovery | LANDiscovery: Listening on port 31415
2026-02-13 01:40:38,302 | INFO | src.infrastructure.swarm.network.lan_discovery | LANDiscovery: Started on port 31415 (broadcast: True)
2026-02-13 01:40:38,302 | INFO | PyAgent.src.infrastructure.swarm.fleet.mixins.fleet_discovery_mixin | [src.infrastructure.swarm.fleet.mixins.fleet_discovery_mixin] FleetDiscovery: Initialized discovery for fleet-PyAgent
2026-02-13 01:40:38,304 | INFO | PyAgent.src.infrastructure.swarm.fleet.mixins.fleet_update_mixin | [src.infrastructure.swarm.fleet.mixins.fleet_update_mixin] FleetUpdateMixin: Auto-update service started with 900s interval.
2026-02-13 01:40:38,339 | INFO | root | Discovery: Advertising local fleet node 'pyagent-AX18' at 10.2.0.2:8000
INFO:     Started server process [18748]
INFO:     Waiting for application startup.
2026-02-13 01:40:38,419 | INFO | PyAgent.src.infrastructure.swarm.voyager.transport_layer | [src.infrastructure.swarm.voyager.transport_layer] Voyager: Transport Layer listening on 0.0.0.0:5555
C:\DEV\PyAgent\.venv\Lib\site-packages\zmq\_future.py:718: RuntimeWarning: Proactor event loop does not implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.
  self._get_loop()
2026-02-13 01:40:38,488 | INFO | PyAgent.src.infrastructure.swarm.voyager.discovery_node | [src.infrastructure.swarm.voyager.discovery_node] Voyager: Advertising node Fleet-PyAgent at 10.2.0.2:8000
2026-02-13 01:40:38,489 | INFO | PyAgent.src.infrastructure.swarm.voyager.discovery_node | [src.infrastructure.swarm.voyager.discovery_node] Voyager: Starting peer discovery browser...
2026-02-13 01:40:38,492 | INFO | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: Starting with thresholds H:70.0% C:90.0%
2026-02-13 01:40:38,729 | INFO | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: Threshold exceeded (>70%). Requesting compute borrow from swarm...
2026-02-13 01:40:38,729 | WARNING | root | Fleet: No peers available for compute borrowing.
2026-02-13 01:40:38,730 | WARNING | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: No neighbor available to take load.
2026-02-13 01:40:38,731 | INFO | src.maintenance.evolution.code_improver | Autonomous Evolution Loop engaged.
2026-02-13 01:40:38,731 | INFO | src.infrastructure.swarm.fleet.mixins.fleet_backup_mixin | FleetResilience: Starting Shard RAID-10 Audit...
2026-02-13 01:40:38,765 | INFO | src.infrastructure.swarm.fleet.mixins.fleet_backup_mixin | FleetResilience: Audit complete.
2026-02-13 01:40:38,765 | INFO | src.maintenance.evolution.code_improver | Evolution: Triggering synaptic pruning cycle...
2026-02-13 01:40:38,765 | INFO | root | SwarmPruningOrchestrator: Initiating swarm-wide neural pruning cycle.
2026-02-13 01:40:38,809 | INFO | root | Topology exported to C:\DEV\PyAgent\data\logs\topology.json
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8001 (Press CTRL+C to quit)
2026-02-13 01:40:40,121 | INFO | PyAgent.src.infrastructure.swarm.voyager.discovery_node | [src.infrastructure.swarm.voyager.discovery_node] Voyager: Discovered peer Fleet-PyAgent._pyagentv._tcp.local. at ['10.2.0.2']
2026-02-13 01:40:40,126 | INFO | PyAgent.src.infrastructure.swarm.voyager.discovery_node | [src.infrastructure.swarm.voyager.discovery_node] Voyager: Peer Registry updated (Fleet-PyAgent._pyagentv._tcp.local.). Total: 1
2026-02-13 01:40:40,128 | INFO | PyAgent.src.infrastructure.swarm.fleet.fleet_manager | [src.infrastructure.swarm.fleet.fleet_manager] Voyager: Initiating Double Ratchet session with abedd3de...
2026-02-13 01:40:40,204 | ERROR | PyAgent.src.infrastructure.swarm.voyager.transport_layer | [src.infrastructure.swarm.voyager.transport_layer] Voyager: Failed to send to tcp://10.2.0.2:5555: MessagePack data is malformed: trailing characters (byte 1)
2026-02-13 01:41:08,319 | INFO | PyAgent.src.infrastructure.swarm.fleet.mixins.fleet_update_mixin | [src.infrastructure.swarm.fleet.mixins.fleet_update_mixin] FleetUpdateMixin: Checking for updates from https://github.com/UndiFineD/PyAgent...
2026-02-13 01:41:09,229 | INFO | PyAgent.src.infrastructure.swarm.fleet.mixins.fleet_update_mixin | [src.infrastructure.swarm.fleet.mixins.fleet_update_mixin] FleetUpdateMixin: System is already up to date.
2026-02-13 01:41:48,765 | INFO | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: Threshold exceeded (>70%). Requesting compute borrow from swarm...
2026-02-13 01:41:48,766 | WARNING | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: No neighbor available to take load.
2026-02-13 01:42:58,802 | INFO | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: Threshold exceeded (>70%). Requesting compute borrow from swarm...
2026-02-13 01:42:58,804 | WARNING | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: No neighbor available to take load.
2026-02-13 01:44:08,859 | INFO | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: Threshold exceeded (>70%). Requesting compute borrow from swarm...
2026-02-13 01:44:08,860 | WARNING | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: No neighbor available to take load.
2026-02-13 01:45:18,912 | INFO | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: Threshold exceeded (>70%). Requesting compute borrow from swarm...
2026-02-13 01:45:18,913 | WARNING | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: No neighbor available to take load.
2026-02-13 01:45:38,856 | INFO | root | Topology exported to C:\DEV\PyAgent\data\logs\topology.json
2026-02-13 01:46:28,939 | INFO | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: Threshold exceeded (>70%). Requesting compute borrow from swarm...
2026-02-13 01:46:28,941 | WARNING | PyAgent.src.infrastructure.swarm.fleet.resource_monitor | [src.infrastructure.swarm.fleet.resource_monitor] ResourceMonitor: No neighbor available to take load.
