
Path                                                                 Lines
----                                                                 -----
src\infrastructure\position\RotaryEmbeddingEngine.py                   818
src\infrastructure\multimodal\MultiModalProcessor.py                   808
src\infrastructure\quantization\QuantizationEngine.py                  806
src\infrastructure\moe\FusedMoELayer.py                                799
src\infrastructure\structured_output\StructuredOutputManager.py        794
src\infrastructure\logprobs\LogprobsProcessor.py                       772
src\infrastructure\speculative_v2\SpeculativeDecoder.py                757
src\infrastructure\lora\LoRAManager.py                                 754
src\infrastructure\models\ModelRegistry.py                             749
src\infrastructure\adapters\LoRAManager.py                             746
src\infrastructure\tensorizer\Tensorizer.py                            738
src\infrastructure\scheduling\AdvancedRequestScheduler.py              733
src\infrastructure\multimodal\MultiModalCache.py                       727
src\infrastructure\scheduling\DisaggregatedScheduler.py                726
src\infrastructure\scheduling\ChunkedPrefillManager.py                 708
src\infrastructure\chat_templates\ChatTemplateRegistry.py              699
src\infrastructure\inference\SpeculativeDecoder.py                     699
src\infrastructure\engine\RequestLifecycle.py                          697
src\infrastructure\structured_output\StructuredOutputParams.py         690
src\infrastructure\attention\AttentionBackendRegistry.py               687
src\infrastructure\executor\MultiprocExecutor.py                       679
src\infrastructure\network\HTTPClient.py                               671
src\infrastructure\pooling\PoolingEngine.py                            670
src\infrastructure\engine\RequestQueue.py                              667
src\infrastructure\metrics\LoRAStatsManager.py                         660
src\infrastructure\sampling\NgramProposer.py                           660
src\infrastructure\engine\AsyncEngineClient.py                         658
src\infrastructure\ssm\MambaMixer.py                                   650
src\infrastructure\kv_transfer\KVTransferConnector.py                  642
src\infrastructure\scheduling\PriorityScheduler.py                     642
src\infrastructure\memory\GPUMemoryAllocator.py                        637
src\infrastructure\structured_output\XGrammarBackend.py                633
src\infrastructure\metrics\PrometheusRegistry.py                       632
src\infrastructure\sampling\RejectionSampler.py                        630
src\infrastructure\sampling\TopKTopPSampler.py                         623
src\infrastructure\moe\ExpertRouter.py                                 623
src\infrastructure\attention\TritonAttentionOps.py                     620
src\infrastructure\multimodal\EncoderCacheManager.py                   618
src\infrastructure\kv_transfer\ARCOffloadManager.py                    618
src\infrastructure\loading\ExpertLoadBalancer.py                       614
src\infrastructure\kv_transfer\BlockTableV2.py                         609
src\infrastructure\engine\ParallelSampling.py                          603
src\infrastructure\pooling\ConnectionPool.py                           601
src\infrastructure\tokenization\IncrementalDetokenizer.py              599
src\infrastructure\attention\BatchDCPWrapper.py                        598
src\infrastructure\inputs\InputPreprocessor.py                         598
src\infrastructure\structured_output\LogitProcessor.py                 592
src\infrastructure\serialization\FastSerializer.py                     583
src\infrastructure\network\NetworkUtils.py                             582
src\infrastructure\resilience\AdaptiveRateLimiter.py                   578
src\infrastructure\serialization\MsgSpecSerializer.py                  576
src\infrastructure\cache\KVCacheMetrics.py                             567
src\infrastructure\structured_output\LogitsProcessorV2.py              566
src\infrastructure\parallel\DataParallelCoordinator.py                 566
src\infrastructure\cache\PrefixCacheOptimizer.py                       559
src\infrastructure\structured_output\StructuredOutputOrchestrator.py   557
src\infrastructure\sampling\AdvancedSamplingParams.py                  557
src\infrastructure\cuda\UBatchProcessor.py                             554
src\infrastructure\speculative_v2\NgramProposer.py                     548
src\infrastructure\execution\batch\orchestrator.py                     542
src\infrastructure\execution\CUDAGraphManager.py                       540
src\infrastructure\engine\IterationMetrics.py                          537
src\infrastructure\loading\WeightLoader.py                             535
src\infrastructure\structured_output\LMFormatEnforcerBackend.py        534
src\infrastructure\cache\BlockPoolManager.py                           534
src\infrastructure\kv_transfer\LRUOffloadManager.py                    524
src\infrastructure\engine\EngineCore.py                                516
src\infrastructure\loading\kv_offload\managers.py                      510
src\infrastructure\cache\KVCacheManager.py                             508
src\infrastructure\engine\OutputProcessor.py                           503
src\infrastructure\sampling\PenaltyEngine.py                           501

